Date,Time,Temperature,wind_direction,Ambient Temperature (in °C),Delta Temp (Y),Log (Y),Temperature - 1 (in °C),Delta Temp (Y-1),North,East,West,South,Wind Impact (Should be linear variation & wind speed),FACE-A,FACE-B,FACE-C
2018-02-01,10:30:00,44,165,27,17,2.833213344056216,40,13,0,0,1,0,0.0,1,0,0
2018-02-01,10:30:00,51,165,27,24,3.1780538303479458,43,16,0,0,1,0,0.0,0,1,0
2018-02-01,10:30:00,53,165,27,26,3.258096538021482,49,22,0,0,0,1,0.9659258262890683,1,0,0
2018-02-01,10:30:00,61,165,27,34,3.5263605246161616,58,31,0,0,0,1,0.9659258262890683,0,1,0
2018-02-01,10:30:00,65,165,27,38,3.6375861597263857,62,35,0,0,0,1,0.9659258262890683,0,0,1
2018-02-01,10:30:00,64,165,27,37,3.6109179126442243,60,33,0,1,0,0,0.25881904510252074,1,0,0
2018-02-01,10:30:00,61,165,27,34,3.5263605246161616,60,33,0,1,0,0,0.25881904510252074,0,1,0
2018-02-01,10:30:00,50,165,27,23,3.1354942159291497,48,21,1,0,0,0,0.0,1,0,0
2018-02-01,10:30:00,44,165,27,17,2.833213344056216,45,18,1,0,0,0,0.0,0,1,0
2018-02-01,10:30:00,38,165,27,11,2.3978952727983707,37,10,1,0,0,0,0.0,0,0,1
2018-02-01,11:00:00,49,155,27,22,3.091042453358316,44,17,0,0,1,0,0.0,1,0,0
2018-02-01,11:00:00,55,155,27,28,3.332204510175204,51,24,0,0,1,0,0.0,0,1,0
2018-02-01,11:00:00,57,155,27,30,3.4011973816621555,53,26,0,0,0,1,0.9063077870366499,1,0,0
2018-02-01,11:00:00,65,155,27,38,3.6375861597263857,61,34,0,0,0,1,0.9063077870366499,0,1,0
2018-02-01,11:00:00,67,155,27,40,3.6888794541139363,65,38,0,0,0,1,0.9063077870366499,0,0,1
2018-02-01,11:00:00,66,155,27,39,3.6635616461296463,64,37,0,1,0,0,0.42261826174069944,1,0,0
2018-02-01,11:00:00,59,155,27,32,3.4657359027997265,61,34,0,1,0,0,0.42261826174069944,0,1,0
2018-02-01,11:00:00,49,155,27,22,3.091042453358316,50,23,1,0,0,0,0.0,1,0,0
2018-02-01,11:00:00,43,155,27,16,2.772588722239781,44,17,1,0,0,0,0.0,0,1,0
2018-02-01,11:00:00,38,155,27,11,2.3978952727983707,38,11,1,0,0,0,0.0,0,0,1
2018-02-01,11:30:00,50,160,28,22,3.091042453358316,49,21,0,0,1,0,0.0,1,0,0
2018-02-01,11:30:00,51,160,28,23,3.1354942159291497,55,27,0,0,1,0,0.0,0,1,0
2018-02-01,11:30:00,61,160,28,33,3.4965075614664802,57,29,0,0,0,1,0.9396926207859084,1,0,0
2018-02-01,11:30:00,66,160,28,38,3.6375861597263857,65,37,0,0,0,1,0.9396926207859084,0,1,0
2018-02-01,11:30:00,70,160,28,42,3.7376696182833684,67,39,0,0,0,1,0.9396926207859084,0,0,1
2018-02-01,11:30:00,67,160,28,39,3.6635616461296463,66,38,0,1,0,0,0.3420201433256688,1,0,0
2018-02-01,11:30:00,56,160,28,28,3.332204510175204,59,31,0,1,0,0,0.3420201433256688,0,1,0
2018-02-01,11:30:00,45,160,28,17,2.833213344056216,49,21,1,0,0,0,0.0,1,0,0
2018-02-01,11:30:00,42,160,28,14,2.6390573296152584,43,15,1,0,0,0,0.0,0,1,0
2018-02-01,11:30:00,38,160,28,10,2.302585092994046,38,10,1,0,0,0,0.0,0,0,1
2018-02-01,12:00:00,60,160,29,31,3.4339872044851463,50,21,0,0,1,0,0.0,1,0,0
2018-02-01,12:00:00,65,160,29,36,3.58351893845611,51,22,0,0,1,0,0.0,0,1,0
2018-02-01,12:00:00,65,160,29,36,3.58351893845611,61,32,0,0,0,1,0.9396926207859084,1,0,0
2018-02-01,12:00:00,69,160,29,40,3.6888794541139363,66,37,0,0,0,1,0.9396926207859084,0,1,0
